Designator,Comment,Mid X(mm),Mid Y(mm),Rotation,Layer
D088,GE-3030WXXX-Q1B2D0-4,224.0,377.78,0,Top
D089,GE-3030WXXX-Q1B2D0-4,224.0,428.89,0,Top
D090,GE-3030WXXX-Q1B2D0-4,224.0,480.0,0,Top
D091,GE-3030WXXX-Q1B2D0-4,249.5,20.0,0,Top
D092,GE-3030WXXX-Q1B2D0-4,249.5,71.11,0,Top
D093,GE-3030WXXX-Q1B2D0-4,249.5,122.22,0,Top
D094,GE-3030WXXX-Q1B2D0-4,249.5,173.33,0,Top
D095,GE-3030WXXX-Q1B2D0-4,249.5,224.44,0,Top
D096,GE-3030WXXX-Q1B2D0-4,249.5,275.56,0,Top
D097,GE-3030WXXX-Q1B2D0-4,249.5,326.67,0,Top
D098,GE-3030WXXX-Q1B2D0-4,249.5,377.78,0,Top
D099,GE-3030WXXX-Q1B2D0-4,249.5,428.89,0,Top
D100,GE-3030WXXX-Q1B2D0-4,249.5,480.0,0,Top
D101,GE-3030WXXX-Q1B2D0-4,275.0,20.0,0,Top
D102,GE-3030WXXX-Q1B2D0-4,275.0,71.11,0,Top
D103,GE-3030WXXX-Q1B2D0-4,275.0,122.22,0,Top
D104,GE-3030WXXX-Q1B2D0-4,275.0,173.33,0,Top
D105,GE-3030WXXX-Q1B2D0-4,275.0,224.44,0,Top
D106,GE-3030WXXX-Q1B2D0-4,275.0,275.56,0,Top
D107,GE-3030WXXX-Q1B2D0-4,275.0,326.67,0,Top
D108,GE-3030WXXX-Q1B2D0-4,275.0,377.78,0,Top
D109,GE-3030WXXX-Q1B2D0-4,275.0,428.89,0,Top
D110,GE-3030WXXX-Q1B2D0-4,275.0,480.0,0,Top
D111,GE-3030WXXX-Q1B2D0-4,300.5,20.0,0,Top
D112,GE-3030WXXX-Q1B2D0-4,300.5,71.11,0,Top
D113,GE-3030WXXX-Q1B2D0-4,300.5,122.22,0,Top
D114,GE-3030WXXX-Q1B2D0-4,300.5,173.33,0,Top
D115,GE-3030WXXX-Q1B2D0-4,300.5,224.44,0,Top
D116,GE-3030WXXX-Q1B2D0-4,300.5,275.56,0,Top
D117,GE-3030WXXX-Q1B2D0-4,300.5,326.67,0,Top
D118,GE-3030WXXX-Q1B2D0-4,300.5,377.78,0,Top
D119,GE-3030WXXX-Q1B2D0-4,300.5,428.89,0,Top
D120,GE-3030WXXX-Q1B2D0-4,300.5,480.0,0,Top
D121,GE-3030WXXX-Q1B2D0-4,326.0,20.0,0,Top
D122,GE-3030WXXX-Q1B2D0-4,326.0,71.11,0,Top
D123,GE-3030WXXX-Q1B2D0-4,326.0,122.22,0,Top
D124,GE-3030WXXX-Q1B2D0-4,326.0,173.33,0,Top
D125,GE-3030WXXX-Q1B2D0-4,326.0,224.44,0,Top
D126,GE-3030WXXX-Q1B2D0-4,326.0,275.56,0,Top
D127,GE-3030WXXX-Q1B2D0-4,326.0,326.67,0,Top
D128,GE-3030WXXX-Q1B2D0-4,326.0,377.78,0,Top
D129,GE-3030WXXX-Q1B2D0-4,326.0,428.89,0,Top
D130,GE-3030WXXX-Q1B2D0-4,326.0,480.0,0,Top
D131,GE-3030WXXX-Q1B2D0-4,351.5,20.0,0,Top
D132,GE-3030WXXX-Q1B2D0-4,351.5,71.11,0,Top
D133,GE-3030WXXX-Q1B2D0-4,351.5,122.22,0,Top
D134,GE-3030WXXX-Q1B2D0-4,351.5,173.33,0,Top
D135,GE-3030WXXX-Q1B2D0-4,351.5,224.44,0,Top
D136,GE-3030WXXX-Q1B2D0-4,351.5,275.56,0,Top
D137,GE-3030WXXX-Q1B2D0-4,351.5,326.67,0,Top
D138,GE-3030WXXX-Q1B2D0-4,351.5,377.78,0,Top
