ref,x_mm,y_mm,rotation_deg,package,logical_channel,physical_output,channel_short,part_number
D065,173.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D066,173.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D067,173.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D068,173.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D069,173.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D070,173.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D071,198.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D072,198.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D073,198.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D074,198.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D075,198.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D076,198.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D077,198.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D078,198.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D079,198.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D080,198.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D081,224.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D082,224.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D083,224.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D084,224.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D085,224.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D086,224.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D087,224.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D088,224.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D089,224.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D090,224.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D091,249.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D092,249.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D093,249.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D094,249.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D095,249.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D096,249.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D097,249.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D098,249.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D099,249.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D100,249.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D101,275.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D102,275.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D103,275.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D104,275.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D105,275.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D106,275.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D107,275.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D108,275.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D109,275.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D110,275.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D111,300.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D112,300.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D113,300.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D114,300.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D115,300.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D116,300.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D117,300.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D118,300.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D119,300.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D120,300.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D121,326.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D122,326.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D123,326.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D124,326.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D125,326.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D126,326.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D127,326.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D128,326.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D129,326.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D130,326.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D131,351.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D132,351.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D133,351.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D134,351.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D135,351.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D136,351.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D137,351.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D138,351.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D139,351.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D140,351.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D141,377.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D142,377.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D143,377.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D144,377.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D145,377.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D146,377.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D147,377.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D148,377.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D149,377.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D150,377.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D151,402.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D152,402.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D153,402.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D154,402.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D155,402.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D156,402.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D157,402.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D158,402.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D159,402.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D160,402.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D161,428.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D162,428.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D163,428.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D164,428.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
