ref,x_mm,y_mm,rotation_deg,package,logical_channel,physical_output,channel_short,part_number
D294,490,225,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D295,60,320,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D296,150,320,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D297,240,320,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D298,330,320,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D299,420,320,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D300,510,320,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D301,40,415,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D302,130,415,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D303,220,415,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D304,310,415,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D305,400,415,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D306,490,415,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D307,60,480,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D308,150,460,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D309,240,440,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D310,330,420,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D311,420,400,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D312,510,480,0,3535,Deep Red 660 nm,CH4,R660,GT-3535R660-S2F0
D313,40,55,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D314,130,55,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D315,220,55,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D316,310,55,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D317,400,55,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D318,490,55,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D319,60,150,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D320,150,150,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D321,240,150,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D322,330,150,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D323,420,150,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
D324,510,150,0,3535,Far-Red 730 nm,CH5,FR730,GT-3535R730-S2D5
