RefDes,X_mm,Y_mm,Channel,Package
D103,380.0,155.294,Far Red 730nm,LED3535_MCPCB
D104,410.0,155.294,Deep Red 660nm,LED3535_MCPCB
D105,440.0,155.294,Warm White,LED3535_MCPCB
D106,470.0,155.294,Warm White,LED3535_MCPCB
D107,500.0,155.294,Main White,LED3535_MCPCB
D108,530.0,155.294,Main White,LED3535_MCPCB
D109,20.0,182.353,Main White,LED3535_MCPCB
D110,50.0,182.353,Main White,LED3535_MCPCB
D111,80.0,182.353,Main White,LED3535_MCPCB
D112,110.0,182.353,Main White,LED3535_MCPCB
D113,140.0,182.353,Deep Red 660nm,LED3535_MCPCB
D114,170.0,182.353,Blue 450nm,LED3535_MCPCB
D115,200.0,182.353,Warm White,LED3535_MCPCB
D116,230.0,182.353,Main White,LED3535_MCPCB
D117,260.0,182.353,Main White,LED3535_MCPCB
D118,290.0,182.353,Main White,LED3535_MCPCB
D119,320.0,182.353,Main White,LED3535_MCPCB
D120,350.0,182.353,Main White,LED3535_MCPCB
D121,380.0,182.353,Main White,LED3535_MCPCB
D122,410.0,182.353,Deep Red 660nm,LED3535_MCPCB
D123,440.0,182.353,Blue 450nm,LED3535_MCPCB
D124,470.0,182.353,Warm White,LED3535_MCPCB
D125,500.0,182.353,Main White,LED3535_MCPCB
D126,530.0,182.353,Main White,LED3535_MCPCB
D127,20.0,209.412,Main White,LED3535_MCPCB
D128,50.0,209.412,Main White,LED3535_MCPCB
D129,80.0,209.412,Main White,LED3535_MCPCB
D130,110.0,209.412,Main White,LED3535_MCPCB
D131,140.0,209.412,Deep Red 660nm,LED3535_MCPCB
D132,170.0,209.412,Blue 450nm,LED3535_MCPCB
D133,200.0,209.412,Warm White,LED3535_MCPCB
D134,230.0,209.412,Main White,LED3535_MCPCB
D135,260.0,209.412,Main White,LED3535_MCPCB
D136,290.0,209.412,Main White,LED3535_MCPCB
D137,320.0,209.412,Main White,LED3535_MCPCB
D138,350.0,209.412,Main White,LED3535_MCPCB
D139,380.0,209.412,Main White,LED3535_MCPCB
D140,410.0,209.412,Far Red 730nm,LED3535_MCPCB
D141,440.0,209.412,Deep Red 660nm,LED3535_MCPCB
D142,470.0,209.412,Warm White,LED3535_MCPCB
D143,500.0,209.412,Warm White,LED3535_MCPCB
D144,530.0,209.412,Main White,LED3535_MCPCB
D145,20.0,236.471,Main White,LED3535_MCPCB
D146,50.0,236.471,Main White,LED3535_MCPCB
D147,80.0,236.471,Main White,LED3535_MCPCB
D148,110.0,236.471,Main White,LED3535_MCPCB
D149,140.0,236.471,Main White,LED3535_MCPCB
D150,170.0,236.471,Deep Red 660nm,LED3535_MCPCB
D151,200.0,236.471,Blue 450nm,LED3535_MCPCB
D152,230.0,236.471,Warm White,LED3535_MCPCB
D153,260.0,236.471,Main White,LED3535_MCPCB
D154,290.0,236.471,Main White,LED3535_MCPCB
D155,320.0,236.471,Main White,LED3535_MCPCB
D156,350.0,236.471,Main White,LED3535_MCPCB
D157,380.0,236.471,Main White,LED3535_MCPCB
D158,410.0,236.471,Main White,LED3535_MCPCB
D159,440.0,236.471,Deep Red 660nm,LED3535_MCPCB
D160,470.0,236.471,Blue 450nm,LED3535_MCPCB
D161,500.0,236.471,Warm White,LED3535_MCPCB
D162,530.0,236.471,Main White,LED3535_MCPCB
D163,20.0,263.529,Main White,LED3535_MCPCB
D164,50.0,263.529,Main White,LED3535_MCPCB
D165,80.0,263.529,Main White,LED3535_MCPCB
D166,110.0,263.529,Main White,LED3535_MCPCB
D167,140.0,263.529,Main White,LED3535_MCPCB
D168,170.0,263.529,Deep Red 660nm,LED3535_MCPCB
